timestamp_frame,x,y
0,932,287
1,1012,359
2,891,579
3,838,65
4,581,125
5,1472,392
6,1158,476
7,869,417
8,594,382
9,465,119
10,457,210
11,645,196
12,692,120
13,1562,23
14,582,541
15,102,348
16,557,529
17,1503,17
18,1614,14
19,460,364
20,460,513
21,478,540
22,450,656
23,1615,15
24,1615,15
25,1631,218
26,95,662
27,284,635
28,239,633
29,109,659
30,229,324
31,1549,13
32,512,464
33,418,539
34,358,52
35,361,51
36,345,680
37,1200,517
38,269,376
39,221,507
40,194,500
41,195,507
42,254,556
43,334,637
44,443,426
45,463,379
46,507,649
47,1212,557
48,1615,15
49,1282,361
50,496,656
51,1519,25
52,1265,114
53,1616,16
54,1616,16
55,1558,708
56,1323,689
57,1318,687
58,1309,688
59,1309,688
60,1269,378
61,1278,358
62,1279,353
63,1616,16
64,459,401
65,435,353
66,1594,90
67,1591,95
68,1588,96
69,1586,69
70,1637,63
71,1189,552
72,408,672
73,466,663
74,347,539
75,277,323
76,1616,16
77,1519,25
78,1562,21
79,1532,70
80,1548,22
81,522,513
82,1432,415
83,1463,367
84,244,652
85,173,623
86,165,616
87,135,547
88,197,627
89,230,654
90,370,666
91,491,652
92,1577,681
93,1566,693
94,1375,534
95,1301,597
96,1303,577
97,428,672
98,374,219
99,340,517
100,368,154
101,879,305
102,368,154
103,368,154
104,1589,19
105,1268,422
106,1325,418
107,1614,15
108,1589,18
109,511,512
110,574,532
111,965,258
112,482,128
113,1614,14
114,565,513
115,679,210
116,1614,15
117,672,356
118,1189,644
119,553,450
120,593,488
121,599,489
122,593,484
123,516,532
124,513,499
125,564,566
126,437,685
127,445,685
128,402,653
129,316,547
130,236,501
131,657,500
132,678,343
133,610,414
134,237,614
135,38,690
136,298,505
137,440,580
138,353,463
139,95,467
140,154,338
141,42,535
142,39,694
143,334,309
144,521,468
145,517,450
146,302,647
147,352,665
148,1616,16
149,357,47
150,1065,345
151,1067,188
152,368,664
153,529,584
154,440,595
155,744,473
156,515,500
157,263,410
158,1293,472
159,388,555
160,902,360
161,251,645
162,336,650
163,380,472
164,395,464
165,202,496
166,222,591
167,312,664
168,357,473
169,299,308
170,126,496
171,446,381
172,166,402
173,390,462
174,764,511
175,329,565
176,150,583
177,389,362
178,382,343
179,445,633
180,1589,19
181,490,621
182,368,155
183,782,328
184,1032,367
185,1467,161
186,351,375
187,1204,46
188,417,475
189,275,518
190,394,547
191,420,665
192,428,659
193,368,155
194,373,660
195,362,652
196,420,676
197,787,296
198,1150,668
199,832,292
200,1474,267
201,1294,438
202,1232,398
203,1346,491
204,82,284
205,171,258
206,165,258
207,455,493
208,905,645
209,332,706
210,1198,167
211,458,232
212,1200,417
213,338,340
214,496,437
215,462,345
216,574,585
217,537,387
218,547,393
219,1233,51
220,437,477
221,404,367
222,912,203
223,1154,208
224,1129,259
225,368,154
226,371,294
227,1100,58
228,910,686
229,965,162
230,233,427
231,1183,111
232,1269,113
233,1492,119
234,1493,119
235,1442,140
236,330,636
237,1316,95
238,499,484
239,1305,127
240,1318,143
241,1234,123
242,1295,122
243,1350,148
244,1354,135
245,1334,120
246,1346,126
247,1361,134
248,302,579
249,1256,477
250,156,70
251,794,282
252,122,68
253,1614,15
254,1522,214
255,1549,22
256,924,355
257,413,392
258,1286,594
259,399,317
260,239,628
261,356,392
262,1269,167
263,356,280
264,688,329
265,368,266
266,407,313
267,485,580
268,480,586
269,384,635
270,863,475
271,1615,15
272,1616,16
273,1616,17
274,1321,655
275,1349,70
276,1277,69
277,446,617
278,458,555
279,468,552
280,1543,68
281,1282,552
282,428,477
283,435,430
284,287,458
285,1615,15
286,363,369
287,1593,184
288,1479,295
289,1565,441
290,1502,229
291,1477,234
292,1467,213
293,307,330
294,325,325
295,352,326
296,811,251
297,835,297
298,1549,21
299,1016,323
300,1589,20
301,1614,15
302,897,361
303,1589,19
