timestamp_frame,x,y,class
0,932,287,
1,1012,359,
2,891,579,Status effect 2
3,838,65,Time score
4,581,125,
5,1472,392,Skill 3
6,1158,476,Lock enemy 2
7,869,417,
8,594,382,
9,465,119,
10,457,210,
11,645,196,
12,692,120,
13,1562,23,Shop
14,582,541,Joystick
15,102,348,
16,557,529,Joystick
17,1503,17,Shop
18,1614,14,Shop
19,460,364,Joystick
20,460,513,Joystick
21,478,540,Joystick
22,450,656,Joystick
23,1615,15,Shop
24,1615,15,Shop
25,1631,218,Gather command
26,95,662,
27,284,635,Joystick
28,239,633,Joystick
29,109,659,
30,229,324,Joystick
31,1549,13,Shop
32,512,464,Joystick
33,418,539,Joystick
34,358,52,Configuration
35,361,51,Configuration
36,345,680,Joystick
37,1200,517,Skill 2
38,269,376,Joystick
39,221,507,Joystick
40,194,500,Joystick
41,195,507,Joystick
42,254,556,Joystick
43,334,637,Joystick
44,443,426,Joystick
45,463,379,Joystick
46,507,649,Joystick
47,1212,557,Skill 2
48,1615,15,Shop
49,1282,361,Upgrade skill 3
50,496,656,Joystick
51,1519,25,Shop
52,1265,114,Cancelation
53,1616,16,Shop
54,1616,16,Shop
55,1558,708,
56,1323,689,Basic attack
57,1318,687,Basic attack
58,1309,688,Basic attack
59,1309,688,Basic attack
60,1269,378,Lock enemy 4
61,1278,358,Upgrade skill 3
62,1279,353,Upgrade skill 3
63,1616,16,Shop
64,459,401,Joystick
65,435,353,Joystick
66,1594,90,Attack command
67,1591,95,Attack command
68,1588,96,Attack command
69,1586,69,Shop
70,1637,63,Shop
71,1189,552,Skill 1
72,408,672,Joystick
73,466,663,Joystick
74,347,539,Joystick
75,277,323,Joystick
76,1616,16,Shop
77,1519,25,Shop
78,1562,21,Shop
79,1532,70,Attack command
80,1548,22,Shop
81,522,513,Joystick
82,1432,415,Skill 3
83,1463,367,Skill 3
84,244,652,Joystick
85,173,623,Joystick
86,165,616,Joystick
87,135,547,Joystick
88,197,627,Joystick
89,230,654,Joystick
90,370,666,Joystick
91,491,652,Joystick
92,1577,681,
93,1566,693,
94,1375,534,Basic attack
95,1301,597,Basic attack
96,1303,577,Basic attack
97,428,672,Joystick
98,374,219,Pin mini map
99,340,517,Joystick
100,368,154,On mic team
101,879,305,
102,368,154,On mic team
103,368,154,On mic team
104,1589,19,Shop
105,1268,422,Skill 2
106,1325,418,Skill 3
107,1614,15,Shop
108,1589,18,Shop
109,511,512,Joystick
110,574,532,Joystick
111,965,258,
112,482,128,
113,1614,14,Shop
114,565,513,Joystick
115,679,210,
116,1614,15,Shop
117,672,356,
118,1189,644,Skill 1
119,553,450,Joystick
120,593,488,Joystick
121,599,489,Joystick
122,593,484,Joystick
123,516,532,Joystick
124,513,499,Joystick
125,564,566,Joystick
126,437,685,Joystick
127,445,685,Joystick
128,402,653,Joystick
129,316,547,Joystick
130,236,501,Joystick
131,657,500,
132,678,343,
133,610,414,
134,237,614,Joystick
135,38,690,
136,298,505,Joystick
137,440,580,Joystick
138,353,463,Joystick
139,95,467,
140,154,338,
141,42,535,
142,39,694,
143,334,309,Joystick
144,521,468,Joystick
145,517,450,Joystick
146,302,647,Joystick
147,352,665,Joystick
148,1616,16,Shop
149,357,47,Configuration
150,1065,345,
151,1067,188,
152,368,664,Joystick
153,529,584,Joystick
154,440,595,Joystick
155,744,473,
156,515,500,Joystick
157,263,410,Joystick
158,1293,472,Skill 2
159,388,555,Joystick
160,902,360,
161,251,645,Joystick
162,336,650,Joystick
163,380,472,Joystick
164,395,464,Joystick
165,202,496,Joystick
166,222,591,Joystick
167,312,664,Joystick
168,357,473,Joystick
169,299,308,Joystick
170,126,496,Joystick
171,446,381,Joystick
172,166,402,Joystick
173,390,462,Joystick
174,764,511,
175,329,565,Joystick
176,150,583,Joystick
177,389,362,Joystick
178,382,343,Joystick
179,445,633,Joystick
180,1589,19,Shop
